order_id,products
2774568,39190
329954,35469
1528013,38293
1376945,27959
1356845,13176
2161313,14715
1416320,5134
1735923,17008
1980631,9387
139655,22935
1411408,22008
2940603,7521
1192143,24759
280888,19213
3202221,24852
3222866,32441
707453,4942
1320132,11079
882556,30962
2431024,24799
2827745,17924
2174416,15712
1325316,26165
320326,42828
2128599,7628
1099519,28058
144494,16959
3024191,39275
2817181,18828
2883656,24852
1970262,4562
2681168,11777
1345233,40146
2412507,5258
622677,2192
139487,21386
3302990,21616
1189294,26317
1368861,1940
1626588,14365
36863,27521
969538,30120
688716,47209
1058680,470
831748,40174
2710859,40897
1500625,1674
726111,41165
2567075,26384
1855063,17794
2588536,33572
1658650,45007
36740,27726
2675738,39685
3052059,9421
2943466,3957
3400496,41806
1920100,47209
2993890,26648
1172828,4210
2587424,13060
2760277,46595
2691733,41658
2769561,18434
2029462,17794
1817659,35121
470997,7515
569815,12218
2517930,16291
2378064,49683
169451,13176
2986791,13176
1239084,33527
3191854,40174
1132910,27086
2088686,27531
3358588,22959
1283403,21137
2098786,29344
795256,23288
2399184,24852
862070,17352
313331,19660
3241020,21709
1549872,47931
3348159,48795
1653971,33198
3161938,38168
2318705,30391
1882331,27579
1696774,36099
2686576,9387
3048274,13712
1141566,4920
3069370,27845
2527879,12576
2969880,35168
2726815,15424
1862801,17454
865014,11361
2572142,16797
1379299,45
1579044,24852
346816,3873
3116687,23405
158824,19660
2306683,28476
939128,46906
1242621,40236
82598,38777
1177551,31380
61423,8057
738988,4656
1105633,28204
930307,22677
588332,19875
2964001,14233
1971668,19660
1452849,47209
1544353,48697
2242945,29487
465851,40910
1080218,24852
3088338,21454
3037363,20161
2305779,48174
632748,28080
2770483,9018
143045,43654
2481483,19660
1299805,42736
2364890,19376
1979817,5876
2193705,6184
1160743,4193
239545,36830
729099,12341
906822,4920
887842,21295
1185710,21137
1237726,26209
572050,31846
1753574,47766
442242,7521
3376600,46820
2557552,2809
2391680,21903
2196307,47943
198531,24852
1281623,8277
1309059,10749
654116,45825
2761369,33572
1918388,14084
3073553,24852
1266894,19761
2185735,3957
1676841,49235
1088553,27845
65467,35140
2314209,33129
3407461,43154
2372519,6533
2247264,41549
2651333,40174
1990335,43598
668032,6347
2730481,7916
1032696,24852
3355968,43295
1945605,44632
1098067,3585
2890507,8710
2519594,2748
1493300,13113
476412,32153
2151106,13176
293692,34050
836275,24852
1956871,36214
68117,9605
3387692,13176
543041,26497
1455788,41805
1490499,47626
2055323,30862
1324947,27966
891657,43484
3112323,36258
1241495,25837
1112531,24857
1545001,36929
1267591,4920
944071,13944
606811,1940
1901134,30003
1461409,32864
1036348,47209
1803743,43631
3259141,27767
2377342,11182
2080645,13176
599014,20114
587740,47965
877079,24852
3360645,19468
1887969,24852
3100473,13083
123641,26604
2104476,47766
3025259,10036
203528,11710
3409156,27216
1094091,39527
764108,20298
1386850,22959
458905,28682
728126,35914
1886032,2094
630214,9901
1533834,25108
736391,14979
1470781,27966
2360269,2962
1237146,49683
3128663,26881
2535468,12341
1619858,24964
999537,32700
162228,4920
160588,34668
2914973,46979
153911,20598
1530394,29370
1018776,32689
3158092,33909
1788231,46820
2580369,35939
2866997,24852
1629029,9421
1158445,36522
1184388,32837
1261211,17224
2976551,35547
2132462,47322
524582,27845
2742254,24852
39629,13176
2496659,20995
2676901,15134
1078531,22935
2278368,39190
3196397,25211
695415,14947
2121710,17333
2904666,13176
1497682,2855
1726557,12341
178418,5785
391588,6489
1055153,40174
1176544,9436
1170109,30639
2471966,48657
1994195,36011
2513235,29010
2286484,373
1624388,8571
3020209,13176
3255859,29326
2005070,1199
1237487,27690
2688906,24964
2170508,1379
2563471,22340
1750505,7821
2318244,13176
242483,24838
2278226,38003
1272828,38817
362619,39046
1168266,1940
141543,45154
3183367,24489
1797124,196
89381,43631
1423050,24838
1249392,47766
3311636,5876
439205,24852
420520,5782
2754200,39982
2558743,43295
1287397,28204
1519990,27086
1671355,24852
2791256,47209
2520517,8571
1930805,13176
1502827,38453
1054066,47156
1753123,30731
109911,24852
934581,22935
311086,8501
2997340,1541
216270,29370
889691,14858
2676926,1313
1146075,5785
3168076,39275
2316252,21573
1199748,47626
2572651,30946
1196886,11121
2864780,21903
2101491,24852
2898328,5547
2308945,34050
2980283,7751
551385,21903
2065552,20019
2619795,24852
92308,40223
2869963,6347
221995,18443
2364225,24852
2383884,12427
1409336,27845
2985179,35951
2510588,13176
2724284,12923
406182,10032
3359540,16797
1382149,32177
113476,5373
172394,21137
1017522,40604
1148846,27985
1389899,17080
383770,7681
1344043,11945
2172762,25466
1635368,13176
624714,2639
3102231,1940
3070543,32717
1378259,9623
951592,5385
2270224,33351
3235117,36117
1720960,11266
2279794,9121
1248981,11140
1516872,47766
533523,44980
20345,5785
2771992,33894
3118092,26746
1242668,18071
352630,1203
2072510,5450
1237738,15424
121516,49492
1523498,21333
2239739,27845
1970457,21267
2525507,21137
2786948,6383
3032161,33827
2788023,20754
1392421,21288
2491706,24852
2572782,4210
23500,3957
2262783,8277
1052165,25487
2544926,13966
1500721,42389
527075,24852
3018942,17122
2933690,47144
1295088,5450
