order_id,products
2774568,39190 47766  NA
329954,1200 2707 7160 7350
1528013,21903 38293  NA
1376945,8309 27959  NA
1356845,7076 10863 13176 14992
2161313,11266 12427  NA
1416320,5134 21903  NA
1735923,17008 35123  NA
1980631,9387 13575  NA
139655,22935 27845  NA
1411408,22008 43758  NA
2940603,7521 30592  NA
1192143,8670 21513 24759 24852
280888,12440 19213  NA
3202221,9637 24852  NA
3222866,7969 8501 15718 32441
707453,4942 24852 32030 44142
1320132,11079 12145  NA
882556,25890 30962  NA
2431024,5450 5699 13176 24799
2827745,689 17924 20754 20770
2174416,10017 15712 18798 36929
1325316,24964 26165  NA
320326,24852 42828  NA
2128599,7628 14818  NA
1099519,22035 28058  NA
144494,16959 46260  NA
3024191,18362 27521 30233 39275
2817181,18828 19677  NA
2883656,21497 24852  NA
1970262,4562 21903  NA
2681168,11777 22151  NA
1345233,1695 13176 21137 40146
2412507,5258 13259 18023 21137
622677,2192 40593  NA
139487,196 21386  NA
3302990,21616 27344  NA
1189294,13176 25527 26317 27966
1368861,1940 5445  NA
1626588,14365 31808  NA
36863,27521 45007  NA
969538,13643 30120 38461 41651
688716,13176 47209  NA
1058680,470 4210  NA
831748,5782 40174  NA
2710859,21249 24852 40897 45007
1500625,1674 26700  NA
726111,9554 12756 13176 41165
2567075,6692 12381 18727 26384
1855063,17794 27845  NA
2588536,23986 33572  NA
1658650,19057 45007  NA
36740,27726 29805  NA
2675738,37543 39685  NA
3052059,9421 44728  NA
2943466,3957 5258  NA
3400496,11777 14233 37754 41806
1920100,2748 47209  NA
2993890,13176 26648  NA
1172828,4210 32691  NA
2587424,13060 25466 25783 30850
2760277,9018 12276 15290 29603
2691733,41658 47990  NA
2769561,18434 21227 22963 38383
2029462,17794 38453  NA
1817659,28934 35121  NA
470997,7515 8043  NA
569815,100 4920 12218 15902
2517930,16291 35221  NA
2378064,28535 49683  NA
169451,1957 13176  NA
2986791,13176 17526  NA
1239084,10768 24852 30391 32655
3191854,4809 19057 40174 41806
1132910,27086 41290  NA
2088686,5479 27531  NA
3358588,4210 19348 22959 27730
1283403,21137 47209  NA
2098786,13447 19660  NA
795256,18234 23288  NA
2399184,22993 24852  NA
862070,17352 24852  NA
313331,12341 19660  NA
3241020,6825 7349 15950 16185
1549872,1160 5468  NA
3348159,32433 39013 45679 48795
1653971,3318 33198  NA
3161938,10108 16965 21077 31553
2318705,30391 47209  NA
1882331,24852 27579  NA
1696774,1366 36099  NA
2686576,9387 21800 21872 46802
3048274,13712 15399 19598 20084
1141566,4920 43352  NA
3069370,11984 27845  NA
2527879,311 11599 12576 22666
2969880,9076 13263 16185 24964
2726815,15424 37606  NA
1862801,17454 27845 35951 49235
865014,5776 11361  NA
2572142,13225 16797 24852 27292
1379299,45 8695 34969 45066
1579044,24852 49683  NA
346816,3873 16350  NA
3116687,23405 34355  NA
158824,19660 46844  NA
2306683,26683 28476  NA
939128,11777 15290 46906 49683
1242621,3495 40236  NA
82598,13176 38777  NA
1177551,4724 6901 7862 22128
61423,6184 8057  NA
738988,521 1878 2086 4656
1105633,24852 28204  NA
930307,4357 22677  NA
588332,6656 19875  NA
2964001,14233 NA  NA
1971668,4175 8809 9934 19660
1452849,44359 47209  NA
1544353,246 35110 35146 48697
2242945,16589 27845 29487 46969
465851,40910 45948  NA
1080218,1640 3855 5886 6692
3088338,21454 26706  NA
3037363,20161 48199  NA
2305779,12341 22938 42043 48174
632748,24701 28080  NA
2770483,9018 21543 27325 44422
143045,11100 43654  NA
2481483,19660 23662  NA
1299805,2382 4031 4983 7500
2364890,5322 18095  NA
1979817,4472 5876  NA
2193705,6184 21903  NA
1160743,4193 13176  NA
239545,19862 36830  NA
729099,7131 7249 12341 17902
906822,4920 8571  NA
887842,21295 24082 33120 45763
1185710,9839 19508  NA
1237726,25671 26209 39877 44142
572050,31846 42475  NA
1753574,19348 22935 24184 47766
442242,7521 25718  NA
3376600,19678 26856 33754 42265
2557552,1468 2809  NA
2391680,21903 26369  NA
2196307,4957 14924 17429 31040
198531,4227 24195 24852 27664
1281623,162 1511 6638 8277
1309059,10749 21903 24852 47766
654116,16797 45825  NA
2761369,28378 33572  NA
1918388,14084 25931  NA
3073553,4210 24852  NA
1266894,19761 39921  NA
2185735,1463 3957  NA
1676841,26914 49235  NA
1088553,7088 21137 27845 39275
65467,24852 35140  NA
2314209,28581 33129  NA
3407461,24852 43154  NA
2372519,6533 8590  NA
2247264,18176 41549  NA
2651333,1321 40174  NA
1990335,21663 43598  NA
668032,6347 22260 23155 43247
2730481,7916 47766  NA
1032696,24852 47626  NA
3355968,13176 43295  NA
1945605,21709 35221  NA
1098067,3585 4421 14467 23644
2890507,1409 8710  NA
2519594,2748 13176  NA
1493300,8277 13113  NA
476412,24852 32153  NA
2151106,4776 13176  NA
293692,27548 34050  NA
836275,16816 24852  NA
1956871,3999 4443  NA
68117,9605 17341 21333 21386
3387692,13176 18670  NA
543041,5612 13819  NA
1455788,28296 33852  NA
1490499,11140 47626  NA
2055323,2120 8953 13176 19691
1324947,2611 12847 13712 20995
891657,43484 47388  NA
3112323,10810 17600 18523 24850
1241495,21137 25837  NA
1112531,15613 24857 35045 38689
1545001,30233 36929  NA
1267591,4920 5456  NA
944071,2434 4006 6069 8538
606811,1940 21137  NA
1901134,30003 49381  NA
1461409,32864 37288  NA
1036348,23044 47209  NA
1803743,13249 43631  NA
3259141,2309 2597 4844 5127
2377342,11182 12508 27360 42360
2080645,1940 13176  NA
599014,20114 26384  NA
587740,17317 40621  NA
877079,9438 14233 23427 24852
3360645,4138 5025 7026 7350
1887969,260 4514 4920 6187
3100473,2078 13083  NA
123641,19348 26604  NA
2104476,18370 27845 30391 47766
3025259,10036 36144  NA
203528,11710 27966  NA
3409156,8072 13977 27216 28647
1094091,34050 39527  NA
764108,8047 20298 24920 27522
1386850,22959 32134  NA
458905,13885 28682  NA
728126,24852 35914  NA
1886032,2094 4421 9346 19048
630214,9901 45622  NA
1533834,13524 25108  NA
736391,1957 14979  NA
1470781,27966 43961  NA
2360269,2962 39581  NA
1237146,49235 49683  NA
3128663,13424 26881 28364 31759
2535468,12341 25653  NA
1619858,24964 47626  NA
999537,23909 30850 32700 32951
162228,4920 13176  NA
160588,13176 34668  NA
2914973,46979 47626  NA
153911,20598 43400  NA
1530394,22035 29370  NA
1018776,9076 21962  NA
3158092,33909 39604  NA
1788231,24852 46820  NA
2580369,2994 4086 9210 11758
2866997,23986 24852  NA
1629029,9421 13176 17948 21903
1158445,8903 36522  NA
1184388,31396 32837  NA
1261211,432 17224  NA
2976551,35547 45007  NA
2132462,10602 12271 26088 31759
524582,27845 49683  NA
2742254,24852 47747  NA
39629,11576 13176  NA
2496659,20995 40376  NA
2676901,15134 18564  NA
1078531,4920 19057 21077 22935
2278368,13176 39190  NA
3196397,25211 40198  NA
695415,14947 44632  NA
2121710,2694 13548 17333 23430
2904666,13176 30391  NA
1497682,2855 48205  NA
1726557,12341 16797  NA
178418,5450 5785 22935 27966
391588,6489 11933 13176 19057
1055153,28204 40174  NA
1176544,7035 9436 11494 16710
1170109,16558 30639  NA
2471966,23909 46844  NA
1994195,24852 36011  NA
2513235,29010 38511  NA
2286484,373 1509 19042 22695
1624388,8571 33000  NA
3020209,13176 29307  NA
3255859,651 17807 22308 24964
2005070,1199 6948  NA
1237487,1511 4451  NA
2688906,24964 47209  NA
2170508,1379 18441 19019 23537
2563471,3260 8859 21757 22340
1750505,7058 7821  NA
2318244,13176 36011  NA
242483,24838 45570  NA
2278226,4138 25640  NA
1272828,16797 38817  NA
362619,36923 39046  NA
1168266,1940 42887  NA
141543,9175 45154  NA
3183367,24489 44422  NA
1797124,196 22802  NA
89381,11422 24890 30504 43631
1423050,24838 43295  NA
1249392,29447 47766  NA
3311636,5876 47209  NA
439205,19057 24852  NA
420520,3512 5782  NA
2754200,24852 28204  NA
2558743,94 43295  NA
1287397,28204 33129  NA
1519990,27086 42736  NA
1671355,21903 24852  NA
2791256,19348 21137 24799 40310
2520517,8571 32689  NA
1930805,13176 47402  NA
1502827,5612 27845 38453 49235
1054066,10467 27288  NA
1753123,18889 30731  NA
109911,24852 47626  NA
934581,5479 22935  NA
311086,7393 8501  NA
2997340,1541 7156 15130 22959
216270,29370 39928  NA
889691,13646 14858  NA
2676926,1313 20114  NA
1146075,5785 32655  NA
3168076,39275 44949  NA
2316252,21573 32403  NA
1199748,44570 47626  NA
2572651,21137 30946 34551 47482
1196886,4210 6046 11121 17795
2864780,21903 35045  NA
2101491,16363 24852  NA
2898328,5547 9698 30923 49271
2308945,28985 34050  NA
2980283,1160 1369 1412 7175
551385,21903 22959  NA
2065552,3990 20019  NA
2619795,432 22186  NA
92308,1117 3243 3390 3594
2869963,6347 11520 21903 42265
221995,18443 35336  NA
2364225,4605 24852  NA
2383884,12427 21769 35269 43154
1409336,13176 27845  NA
2985179,23383 35951  NA
2510588,13176 27695  NA
2724284,12923 22054  NA
406182,10032 47226  NA
3359540,16797 30633  NA
1382149,4920 12456 13176 28842
113476,4605 5373 18883 33279
172394,21137 47766  NA
1017522,40604 44632  NA
1148846,27985 34466 41777 49131
1389899,9741 17080  NA
383770,5484 7681  NA
1344043,11945 23565  NA
2172762,1689 25466  NA
1635368,13176 21137  NA
624714,2639 44536  NA
3102231,1940 44142  NA
3070543,2014 11440 32717 48720
1378259,9623 24852  NA
951592,5385 34111  NA
2270224,33351 38185  NA
3235117,22035 36117  NA
1720960,3259 11266 13634 23985
2279794,5550 9121 12879 25480
1248981,11140 31215  NA
1516872,24852 47766  NA
533523,1940 44980  NA
20345,5785 27966  NA
2771992,9508 14778 28199 33894
3118092,26209 26746  NA
1242668,18071 24852  NA
352630,1203 27521  NA
2072510,2086 5450  NA
1237738,15424 30569  NA
121516,12845 49492  NA
1523498,21333 28515  NA
2239739,2611 6489 19006 20631
1970457,4210 8087  NA
2525507,4781 21137  NA
2786948,6383 32864  NA
3032161,2038 15383 22952 33827
2788023,20754 21108  NA
1392421,18923 21288  NA
2491706,4210 16696 16797 24852
2572782,4210 47626  NA
23500,3957 27104 27695 44632
2262783,8277 16308 33000 41618
1052165,9047 25487  NA
2544926,11759 13966  NA
1500721,39409 42389  NA
527075,24852 27730  NA
3018942,10258 17122  NA
2933690,4410 41950 47144 47766
1295088,5450 24852  NA
1205372,21267 24561 35887 38689
2784114,42445 NA  NA
2634958,21137 21903 24852 39877
1684278,1194 33198  NA
3381268,13031 26032  NA
1601439,15153 49683  NA
3419249,39589 43789  NA
972886,5876 47868  NA
3288057,42736 44799  NA
2802507,6155 21242 22037 27086
1440533,13032 26317  NA
2128112,13966 43252  NA
2061262,28594 32747 41315 45570
1860851,148 24852 39877 42495
1294240,196 13176  NA
2485297,22935 44142  NA
615968,11576 13870 16589 18765
714005,1582 5976  NA
507309,43044 46188  NA
539759,1848 12481  NA
730226,11365 12899  NA
2219156,38785 45569  NA
1562811,24489 46880  NA
2346992,24852 45679  NA
825152,1940 27239  NA
1217860,5101 24454 25146 28427
39872,7688 32441  NA
797320,39877 49224  NA
2117678,1335 46226  NA
644486,1194 47766  NA
1166076,4086 10749  NA
1660241,28008 47766  NA
2578885,21137 49621  NA
2719212,24852 49075  NA
2897298,47977 48845  NA
737811,26683 35168  NA
3377875,9018 24852 25890 41259
2003451,34898 42731  NA
1242569,3957 13176  NA
708051,24964 28156  NA
979711,20015 45007  NA
115809,23106 38241  NA
330006,16387 42612  NA
1003428,3429 19660  NA
796276,12545 42257  NA
2134549,1682 34483  NA
173060,21137 22825 24852 35221
1417318,10768 17027  NA
1747737,6348 29447 31618 39475
1094757,5083 9225  NA
1023763,907 22028  NA
3096624,19546 26861 32710 42980
556998,5794 43772  NA
1654614,10749 24852  NA
348608,23909 29487  NA
3263101,28465 47912  NA
472089,21903 24852  NA
1477795,39877 49683  NA
1837509,2604 25753  NA
1295547,8460 35914  NA
183244,5771 21333 35458 49191
687724,16797 26209  NA
1257586,11352 14678 38689 39619
2446481,12845 24852  NA
1964277,13176 38689  NA
3354422,19660 44261  NA
3299383,38293 42265  NA
1917547,12341 15541 21288 31759
18113,40332 47766  NA
422051,28424 41678  NA
123802,921 30186  NA
3380822,14233 29799  NA
825986,4656 8390 16797 22695
1334507,26924 30183 31683 43263
2857490,21903 32927  NA
912310,1202 16168 18465 22417
307143,18027 43122  NA
2252628,4595 5128  NA
2343550,4942 40377  NA
977808,2763 4210  NA
2298851,45603 48559  NA
1377070,20809 29307  NA
1138234,9810 38849  NA
2166558,13944 45004  NA
1067908,6111 14636  NA
235789,5258 9535  NA
3112593,23909 37215  NA
3261182,22935 26324  NA
2996466,5618 33465  NA
917864,26172 32691  NA
3302795,10749 21137 35523 48679
544889,7412 24852 35221 39993
14817,5918 26587  NA
3238643,3798 30162 31759 33081
995122,4138 4428  NA
658852,32714 37687  NA
2999536,13176 17207  NA
1151839,403 25204  NA
1103486,21938 23102  NA
412133,24852 35504  NA
1898121,26088 32455 45004 49235
3063004,6184 16974  NA
1703133,6774 46720  NA
3061961,27985 44152  NA
3339861,11688 16793  NA
1269779,3523 5646 8091 26315
1073265,14084 24852  NA
3106959,3055 26165  NA
2546776,3479 12440 16797 21709
2991602,15700 21137  NA
3221782,1689 23785 32605 44142
1011297,22935 34126  NA
3099304,11759 37710  NA
2110390,3539 17322 27868 38996
1520586,21137 39275  NA
3377720,13176 17419  NA
913397,19057 24852  NA
1301634,13176 27845  NA
781578,769 13259 21137 31343
526421,22089 24852  NA
40070,22298 27845  NA
795428,4472 18994  NA
1122524,196 49235  NA
3307750,14577 31605  NA
3072395,7969 8424 10955 17317
1448063,5161 6238 45066 47766
1304479,30450 32665  NA
2222025,23322 48287  NA
583891,3248 14881  NA
2749407,20448 20955 21573 25885
1560567,9175 25493  NA
1952709,8859 9068 12013 14063
2477100,15462 47209  NA
2962049,790 44142 48199 49683
1919322,5876 20995  NA
2509434,3457 25931 36865 44910
3246106,24184 24852  NA
1887165,6022 18253 28370 47842
2733997,27012 32689  NA
2244940,33198 35695  NA
1969261,26914 38689  NA
3212682,28156 28204  NA
1412630,21709 22888 27695 38273
279090,4261 20919  NA
2534805,9189 13176 18838 37687
263089,9387 24852  NA
1635309,17652 47626  NA
3358926,10385 13984 21616 21903
1200207,12986 14197 35163 46677
233795,14168 19505  NA
1991384,1957 3808 13249 17264
491363,10984 36696  NA
712585,7812 11422 24759 25330
747352,21288 43352  NA
2785463,196 11759  NA
1516308,24852 26558  NA
1132699,4195 40199  NA
2720462,4149 22046  NA
2481125,10089 33198  NA
1505169,13646 39180  NA
2214673,1379 45009  NA
2391741,17871 21616 26856 35168
341508,3434 7453 26348 29363
724534,16428 19352  NA
2875779,15929 24925  NA
1937241,33043 35108  NA
583654,4920 5342 6878 9755
3111365,10246 16398 19660 35503
489189,4920 9076  NA
792330,13176 16234  NA
1711925,27730 39928  NA
967626,36127 37158  NA
1284059,16398 45603  NA
1841472,38750 45346  NA
890200,10106 38889  NA
1563765,13409 47626  NA
